epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,175.746,1.5701,1.46226,1.68249,0.14286,0.125,0.04205,0.02094,2.97224,165.191,3.59209,0.00088625,0.00088625,0.00088625
47,179.671,1.76553,1.5899,1.60988,0.06856,0.125,0.12955,0.10127,3.41099,35.3058,4.36616,0.0008615,0.0008615,0.0008615
48,183.052,1.45207,1.59561,1.71234,0.18571,0.125,0.05464,0.02325,3.56867,8.94125,4.19314,0.00083675,0.00083675,0.00083675
49,186.46,1.78055,1.58196,1.6354,0.18571,0.125,0.05464,0.02325,3.56867,8.94125,4.19314,0.000812,0.000812,0.000812
50,190.444,1.77109,1.56032,1.8184,0.1754,0.25,0.13255,0.0311,2.55546,10.1512,3.76008,0.00078725,0.00078725,0.00078725
51,193.819,1.55322,1.24996,1.52551,0.12355,0.625,0.10698,0.03014,2.5348,13.4362,4.3464,0.0007625,0.0007625,0.0007625
52,197.4,1.57996,1.35718,1.57504,0.1362,0.75,0.11608,0.02996,2.49302,16.9936,4.711,0.00073775,0.00073775,0.00073775
53,200.924,1.70608,1.38299,1.68911,0.1362,0.75,0.11608,0.02996,2.49302,16.9936,4.711,0.000713,0.000713,0.000713
54,205.073,1.72539,1.73077,1.73861,0.10609,0.375,0.12214,0.03562,2.43283,14.0288,4.56138,0.00068825,0.00068825,0.00068825
55,208.533,1.52448,1.28107,1.53761,0.17231,0.5,0.15412,0.04487,2.40943,10.8731,4.09046,0.0006635,0.0006635,0.0006635
56,212.48,1.58104,1.31788,1.65104,0.20815,0.5,0.17046,0.04556,2.49798,10.8336,3.95768,0.00063875,0.00063875,0.00063875
57,216.909,1.44932,1.1624,1.45407,0.20815,0.5,0.17046,0.04556,2.49798,10.8336,3.95768,0.000614,0.000614,0.000614
58,220.731,1.47275,1.37314,1.47083,0.2895,0.25,0.16606,0.0607,2.57669,9.61516,3.95686,0.00058925,0.00058925,0.00058925
59,224.144,1.44286,1.19783,1.49971,0.06236,0.25,0.04237,0.01047,2.74672,7.58464,3.55922,0.0005645,0.0005645,0.0005645
60,227.598,1.50068,1.14738,1.5007,0.0366,0.25,0.02867,0.00691,2.64314,7.86579,3.41418,0.00053975,0.00053975,0.00053975
61,231.636,1.41015,1.05464,1.48733,0.0366,0.25,0.02867,0.00691,2.64314,7.86579,3.41418,0.000515,0.000515,0.000515
62,235.114,1.5585,1.46131,1.66116,0.02959,0.125,0.01603,0.00594,2.7972,5.99009,3.60896,0.00049025,0.00049025,0.00049025
63,238.542,1.64111,1.56871,1.77245,0.28169,0.125,0.0889,0.02943,2.70151,5.50422,3.37398,0.0004655,0.0004655,0.0004655
64,242.252,1.34013,1.16394,1.47501,0.22329,0.375,0.22016,0.15099,2.33079,4.36492,2.83815,0.00044075,0.00044075,0.00044075
65,246.772,1.33255,1.2003,1.39002,0.22329,0.375,0.22016,0.15099,2.33079,4.36492,2.83815,0.000416,0.000416,0.000416
66,250.562,1.27435,1.10996,1.41017,0.47968,0.625,0.46249,0.19562,2.10166,3.93384,2.61156,0.00039125,0.00039125,0.00039125
67,254.372,1.59411,1.28071,1.61433,0.42826,0.625,0.46763,0.24024,1.96462,2.86433,2.43461,0.0003665,0.0003665,0.0003665
68,259.051,1.43251,1.53268,1.64821,0.49706,0.625,0.56851,0.23575,2.01717,2.58062,2.36349,0.00034175,0.00034175,0.00034175
69,263.704,1.36277,1.37786,1.51721,0.49706,0.625,0.56851,0.23575,2.01717,2.58062,2.36349,0.000317,0.000317,0.000317
70,267.51,1.22216,0.99672,1.38045,0.38954,0.375,0.31737,0.16268,2.25364,2.10682,2.54376,0.00029225,0.00029225,0.00029225
71,273.476,1.09921,0.93692,1.28421,0.39874,0.5,0.30702,0.12396,2.24921,1.85242,2.67149,0.0002675,0.0002675,0.0002675
72,277.259,1.15927,1.18904,1.40762,0.26488,0.875,0.31668,0.12551,2.22665,1.75838,2.83326,0.00024275,0.00024275,0.00024275
73,280.797,1.0904,0.99691,1.45039,0.26488,0.875,0.31668,0.12551,2.22665,1.75838,2.83326,0.000218,0.000218,0.000218
74,284.662,1.09947,0.92196,1.26784,0.31141,0.875,0.52021,0.19334,2.25154,1.75308,2.8349,0.00019325,0.00019325,0.00019325
75,288.627,1.05585,0.88971,1.21773,0.5772,0.375,0.48352,0.18923,2.13212,1.71024,2.61651,0.0001685,0.0001685,0.0001685
76,292.164,1.28278,0.9925,1.26267,0.91497,0.25,0.43665,0.17584,2.13225,1.78356,2.60976,0.00014375,0.00014375,0.00014375
77,295.53,1.10145,0.89276,1.31145,0.91497,0.25,0.43665,0.17584,2.13225,1.78356,2.60976,0.000119,0.000119,0.000119
78,299.685,1.26062,1.16508,1.59086,0.58181,0.35227,0.45594,0.17497,2.17709,1.81551,2.63172,9.425e-05,9.425e-05,9.425e-05
79,303.295,0.87703,0.862,1.12289,0.53485,0.375,0.46735,0.17531,2.21833,1.77715,2.67788,6.95e-05,6.95e-05,6.95e-05
80,308.721,1.11871,0.8498,1.32801,0.48764,0.5,0.49335,0.17828,2.26622,1.74598,2.65521,4.475e-05,4.475e-05,4.475e-05
