epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,61.6465,1.22683,1.53215,1.31225,1,0.5403,0.69074,0.20916,2.333,2.71054,2.47455,0.0009605,0.0009605,0.0009605
44,62.8559,1.27855,1.47986,1.41857,0.40101,0.5,0.37394,0.20034,2.24525,2.91103,2.41604,0.00093575,0.00093575,0.00093575
45,63.9147,1.25853,1.50492,1.37639,0.40101,0.5,0.37394,0.20034,2.24525,2.91103,2.41604,0.000911,0.000911,0.000911
46,65.0826,1.07675,1.28347,1.29338,0.45621,0.375,0.36614,0.20333,2.12262,3.05233,2.23972,0.00088625,0.00088625,0.00088625
47,66.0529,1.11075,1.29649,1.1796,0.93888,0.25,0.35208,0.19722,2.24108,2.88739,2.33677,0.0008615,0.0008615,0.0008615
48,67.2454,1.12724,1.52358,1.31357,0.4644,0.375,0.39358,0.21304,2.14078,2.99939,2.36786,0.00083675,0.00083675,0.00083675
49,68.7935,1.05368,1.2484,1.15798,0.4644,0.375,0.39358,0.21304,2.14078,2.99939,2.36786,0.000812,0.000812,0.000812
50,70.7113,1.20687,1.49933,1.33581,0.92381,0.25,0.28562,0.17012,2.29102,3.28631,2.46353,0.00078725,0.00078725,0.00078725
51,72.0045,1.09387,1.20313,1.25375,0.26721,0.25,0.19435,0.11644,2.42809,3.28461,2.66652,0.0007625,0.0007625,0.0007625
52,73.1738,1.0653,1.25955,1.21842,0.21177,0.25,0.18542,0.1045,2.4526,3.10561,2.80667,0.00073775,0.00073775,0.00073775
53,74.1545,1.0031,1.26541,1.21724,0.21177,0.25,0.18542,0.1045,2.4526,3.10561,2.80667,0.000713,0.000713,0.000713
54,75.7328,1.11881,1.29664,1.28949,0.76913,0.125,0.18759,0.09961,2.66837,3.12945,3.05945,0.00068825,0.00068825,0.00068825
55,76.8028,0.94893,1.16167,1.14687,0.83045,0.125,0.18462,0.09547,2.57992,3.40364,3.00611,0.0006635,0.0006635,0.0006635
56,77.9986,0.9137,1.2998,1.17013,0.23341,0.625,0.29261,0.09812,2.69638,3.65388,2.92613,0.00063875,0.00063875,0.00063875
57,79.1142,1.01327,1.14386,1.2011,0.23341,0.625,0.29261,0.09812,2.69638,3.65388,2.92613,0.000614,0.000614,0.000614
58,80.1793,1.09235,1.28455,1.31833,0.33629,0.375,0.28326,0.09866,2.41806,3.52055,3.10738,0.00058925,0.00058925,0.00058925
59,81.2788,0.98893,1.17717,1.18282,0.4494,0.51115,0.54213,0.10156,2.29242,3.26606,3.20012,0.0005645,0.0005645,0.0005645
60,83.1334,0.95406,1.12022,1.12235,0.43532,0.5,0.43803,0.12482,2.289,3.87494,3.15749,0.00053975,0.00053975,0.00053975
61,84.7639,0.85995,1.10527,1.14547,0.43532,0.5,0.43803,0.12482,2.289,3.87494,3.15749,0.000515,0.000515,0.000515
62,86.23,1.10571,1.28907,1.3424,0.42248,0.625,0.48764,0.1562,2.17923,3.568,2.82896,0.00049025,0.00049025,0.00049025
63,87.356,1.14978,1.4213,1.42619,0.57171,0.625,0.66478,0.23814,2.02995,2.94015,2.62688,0.0004655,0.0004655,0.0004655
64,88.4071,0.91053,1.06027,1.1256,0.67555,0.625,0.67123,0.29774,2.01433,2.36852,2.49122,0.00044075,0.00044075,0.00044075
65,89.5487,0.96616,1.14737,1.13103,0.67555,0.625,0.67123,0.29774,2.01433,2.36852,2.49122,0.000416,0.000416,0.000416
66,90.6532,0.94984,1.26638,1.1226,0.69839,0.625,0.66696,0.26843,1.99102,2.2277,2.36558,0.00039125,0.00039125,0.00039125
67,91.692,1.03787,1.3464,1.21329,0.97698,0.375,0.51428,0.20185,2.12248,2.1818,2.35842,0.0003665,0.0003665,0.0003665
68,92.7494,0.88403,1.23559,1.21224,0.83149,0.25,0.4173,0.18158,2.0865,2.13543,2.30018,0.00034175,0.00034175,0.00034175
69,93.7621,0.96958,1.2041,1.18168,0.83149,0.25,0.4173,0.18158,2.0865,2.13543,2.30018,0.000317,0.000317,0.000317
70,94.9011,0.90335,1.06258,1.15414,0.97753,0.375,0.5248,0.18241,1.99967,2.14104,2.28898,0.00029225,0.00029225,0.00029225
71,99.2359,0.76866,1.19302,1.06204,0.97631,0.375,0.5578,0.20003,1.94074,2.07934,2.26869,0.0002675,0.0002675,0.0002675
72,100.972,0.80876,1.31368,1.04564,0.97029,0.375,0.47657,0.19748,2.04646,2.23636,2.38477,0.00024275,0.00024275,0.00024275
73,102.636,0.68135,1.28714,1.07405,0.97029,0.375,0.47657,0.19748,2.04646,2.23636,2.38477,0.000218,0.000218,0.000218
74,103.762,0.66346,1.30529,0.97634,0.96366,0.375,0.42002,0.19879,2.16328,2.32984,2.44532,0.00019325,0.00019325,0.00019325
75,104.799,0.68954,1.11111,0.96661,0.96399,0.375,0.43282,0.20057,2.09575,2.35063,2.43002,0.0001685,0.0001685,0.0001685
76,105.805,0.7102,1.14024,0.93318,0.96497,0.375,0.43344,0.16938,2.12778,2.34261,2.5236,0.00014375,0.00014375,0.00014375
77,106.957,0.60727,1.07851,0.95492,0.96497,0.375,0.43344,0.16938,2.12778,2.34261,2.5236,0.000119,0.000119,0.000119
78,108.079,0.72883,1.37588,1.13812,0.96565,0.375,0.51732,0.19389,2.09041,2.28184,2.49039,9.425e-05,9.425e-05,9.425e-05
79,109.198,0.62739,1.20916,0.91705,0.96335,0.375,0.53644,0.17701,2.04301,2.21211,2.4355,6.95e-05,6.95e-05,6.95e-05
80,110.681,0.68847,1.09076,1.02894,0.96093,0.375,0.52146,0.1847,2.0104,2.15967,2.41275,4.475e-05,4.475e-05,4.475e-05
